sample_id,patient_id,replicate,interaction_name,interaction_name_2,pathway_name,probability,p_value,fdr_bh,significant
SN048_A121573_Rep1,A121573,Rep1,FN1_CD44,FN1 - CD44,FN1,0.0635698262482099,0,0,TRUE
SN048_A121573_Rep1,A121573,Rep1,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.12167811731521,0,0,TRUE
SN048_A121573_Rep1,A121573,Rep1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.131601534958863,0,0,TRUE
SN048_A121573_Rep1,A121573,Rep1,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.143374005339858,0,0,TRUE
SN048_A121573_Rep1,A121573,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.154587762903165,0,0,TRUE
SN048_A121573_Rep1,A121573,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.0762890593755174,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,FN1_CD44,FN1 - CD44,FN1,0.0529562770446106,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0922675024302445,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0974984206959955,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.109321964507277,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.115289493828534,0,0,TRUE
SN048_A121573_Rep2,A121573,Rep2,FN1_SDC4,FN1 - SDC4,FN1,0.0637006695112091,0,0,TRUE
SN048_A416371_Rep1,A416371,Rep1,FN1_CD44,FN1 - CD44,FN1,0.0587045490687327,0,0,TRUE
SN048_A416371_Rep1,A416371,Rep1,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0860803348453076,0,0,TRUE
SN048_A416371_Rep1,A416371,Rep1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.0933624823876933,0,0,TRUE
SN048_A416371_Rep1,A416371,Rep1,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.0487791095137149,0.01,0.012,TRUE
SN048_A416371_Rep1,A416371,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.0534218306110404,0,0,TRUE
SN048_A416371_Rep1,A416371,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.032100157825015,0.04,0.04,TRUE
SN048_A416371_Rep2,A416371,Rep2,FN1_CD44,FN1 - CD44,FN1,0.0794204098116167,0,0,TRUE
SN048_A416371_Rep2,A416371,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.111336580492328,0,0,TRUE
SN048_A416371_Rep2,A416371,Rep2,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.118388844600578,0,0,TRUE
SN048_A416371_Rep2,A416371,Rep2,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.063379128258649,0,0,TRUE
SN048_A416371_Rep2,A416371,Rep2,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.0680561086846329,0,0,TRUE
SN048_A416371_Rep2,A416371,Rep2,FN1_SDC4,FN1 - SDC4,FN1,0.0433030842840868,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,FN1_CD44,FN1 - CD44,FN1,0.0763732041158747,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.116687950180043,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,0.124597000015347,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,0.134944272221763,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,0.143680075445268,0,0,TRUE
SN123_A551763_Rep1,A551763,Rep1,FN1_SDC4,FN1 - SDC4,FN1,0.0896278603440072,0,0,TRUE
SN124_A551763_Rep2,A551763,Rep2,FN1_CD44,FN1 - CD44,FN1,0.0346652603987856,0,0,TRUE
SN124_A551763_Rep2,A551763,Rep2,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,0.0509029463694239,0,0,TRUE
