sample_id,patient_id,replicate,sender_spots,receiver_spots,status,error
SN048_A121573_Rep1,A121573,Rep1,249,337,completed,
SN048_A121573_Rep2,A121573,Rep2,396,373,completed,
SN048_A416371_Rep1,A416371,Rep1,728,672,completed,
SN048_A416371_Rep2,A416371,Rep2,524,627,completed,
SN123_A551763_Rep1,A551763,Rep1,70,375,completed,
SN124_A551763_Rep2,A551763,Rep2,50,698,completed,
SN123_A595688_Rep1,A595688,Rep1,209,235,completed,
SN124_A595688_Rep2,A595688,Rep2,74,162,completed,
SN123_A798015_Rep1,A798015,Rep1,,,not_analyzed,Insufficient prespecified sender or receiver spots: 883 / 0
SN124_A798015_Rep2,A798015,Rep2,,,not_analyzed,Insufficient prespecified sender or receiver spots: 689 / 0
SN123_A938797_Rep1_X,A938797,Rep1,1122,121,completed,
SN124_A938797_Rep2,A938797,Rep2,860,165,completed,
SN84_A120838_Rep1,A120838,Rep1,156,43,completed,
SN84_A120838_Rep2,A120838,Rep2,408,232,completed,
