drug,mean_difference,median_difference,p_value,fdr_bh,sensitivity_rank
BMS-754807_2171,-1427304030270.58,-1279609018548.87,6.58115743597128e-13,3.03039342400538e-12,1
SB505124_1194,-212480409560.02,-190493295451.391,6.58115743597128e-13,3.03039342400538e-12,2
Mitoxantrone_1810,-1.38906370460166,-1.47372183639283,4.58172184595415e-22,3.94426489347357e-21,3
Dasatinib_1079,-1.32738629667375,-1.43886158156314,8.1441161957608e-26,8.95852781533688e-25,4
Nutlin-3a (-)_1047,-1.1435713797564,-1.15394194859729,1.02450102001432e-22,9.2205091801289e-22,5
Cisplatin_1005,-0.854885411287743,-0.789526051225927,1.06210053068592e-17,7.00986350252707e-17,6
Gemcitabine_1190,-0.815723536157652,-0.62502699591606,5.92610514586936e-08,1.52385560893784e-07,7
MK-8776_2046,-0.725259437352843,-0.727273007831401,3.27396082967609e-23,3.0868773536946e-22,8
AMG-319_2045,-0.719981646946256,-0.701304739901029,5.62086253421384e-30,6.54665165749612e-29,9
Teniposide_1809,-0.678395223916962,-0.547376687664013,6.10590381863289e-15,3.35824710024809e-14,10
SB216763_1025,-0.672710934403451,-0.68324017613722,3.67095101614553e-24,3.63424150598407e-23,11
Camptothecin_1003,-0.65641505124009,-0.615152661794625,1.05449257619381e-14,5.49446131806247e-14,12
Cytarabine_1006,-0.622540283299616,-0.48470630495684,3.17527229172649e-09,1.03066215370794e-08,13
Entinostat_1593,-0.616608317360754,-0.55975638850928,2.87865443370655e-21,2.27989431149559e-20,14
WZ4003_1614,-0.597386482046448,-0.568716216727711,2.95512289177407e-20,2.08969404489738e-19,15
Topotecan_1808,-0.589960381460947,-0.608639044265332,4.26273522250111e-13,2.05858920501273e-12,16
Fludarabine_1813,-0.5672306192454,-0.531098638241498,3.16786301334354e-14,1.60829968369749e-13,17
Irinotecan_1088,-0.534120032866789,-0.461801456307136,2.79334429164022e-11,1.02422624026808e-10,18
Nelarabine_1814,-0.530768046449263,-0.511619619125116,1.11439719604955e-17,7.1177627360584e-17,19
Sabutoclax_1849,-0.526733659905231,-0.489782141517796,1.79098768605264e-20,1.31339096977193e-19,20
AZD5991_1720,-0.516840706565096,-0.507964300289039,1.14859694590369e-05,2.29719389180737e-05,21
Nilotinib_1013,-0.508737182603938,-0.393799085765671,7.97279310788888e-09,2.39183793236666e-08,22
Selumetinib_1736,-0.506164326164429,-0.590713609093836,5.15905361538372e-09,1.59608221225934e-08,23
Niraparib_1177,-0.504997560664274,-0.485637464866113,4.41213415592695e-16,2.56941930256923e-15,24
Entospletinib_1630,-0.480335935526048,-0.42066582483698,1.31864939045989e-21,1.08788574712941e-20,25
PRT062607_1631,-0.455654522921702,-0.4771003429878,1.19764173867105e-17,7.41040825802712e-17,26
Savolitinib_1936,-0.431494030077423,-0.420190522563786,5.47398165573078e-21,4.16864756859498e-20,27
PD0325901_1060,-0.43095578663517,-0.407256926214636,4.24715635699924e-09,1.35634993336427e-08,28
