"comparison","rho","n","p"
"SenMayo_FAP13_TCGA380",0.847626587295947,380,4.40735288080141e-106
"SenMayo_FAP13_GSE39582",0.779527099359724,585,1.50816344885603e-120
"SenMayo_matrix4_TCGA380",0.751125335829341,380,3.66119384072249e-70
"SenMayo_matrix4_GSE39582",0.64430194768219,585,6.42202310866524e-70
"SASP25_FAP13_TCGA380",0.652958523914548,380,1.51386747355292e-47
"SASP25_FAP13_GSE39582",0.644258191665738,585,6.60548229700672e-70
"SASP25_matrix4_TCGA380",0.570223733142925,380,3.75034006750299e-34
"SASP25_matrix4_GSE39582",0.549227976038486,585,2.11123276677314e-47
"colonSASP_FAP13_TCGA380",0.419631787798501,380,1.21910056423134e-17
"colonSASP_FAP13_GSE39582",0.450701714636447,585,1.3070473810159e-30
"colonSASP_matrix4_TCGA380",0.358282696957006,380,5.94769841274506e-13
"colonSASP_matrix4_GSE39582",0.365314605758292,585,6.57211500468582e-20
"CellAge_FAP13_TCGA380",0.840520181470859,380,1.1831480152305e-102
"CellAge_FAP13_GSE39582",0.841114052154774,585,9.57635535063071e-158
"CellAge_matrix4_TCGA380",0.771202162429321,380,3.83753824000013e-76
"CellAge_matrix4_GSE39582",0.764465679099369,585,2.99630874657072e-113
